start...
Epoch: 97 / 50000, Score: -500,  block: 21,  Reward: -122.4329 Cleared lines: 0, col: 0/0/0/0 
Epoch: 98 / 50000, Score: -500,  block: 27,  Reward: -182.3383 Cleared lines: 0, col: 0/0/0/0 
Epoch: 99 / 50000, Score: -500,  block: 23,  Reward: -175.1042 Cleared lines: 0, col: 0/0/0/0 
Epoch: 100 / 50000, Score: -400,  block: 27,  Reward: -119.2857 Cleared lines: 1, col: 1/0/0/0 
Epoch: 101 / 50000, Score: -500,  block: 26,  Reward: -147.4009 Cleared lines: 0, col: 0/0/0/0 
Epoch: 102 / 50000, Score: -500,  block: 21,  Reward: -122.7408 Cleared lines: 0, col: 0/0/0/0 
Epoch: 103 / 50000, Score: -500,  block: 25,  Reward: -192.5841 Cleared lines: 0, col: 0/0/0/0 
Epoch: 104 / 50000, Score: -500,  block: 27,  Reward: -186.3524 Cleared lines: 0, col: 0/0/0/0 
Epoch: 105 / 50000, Score: -500,  block: 18,  Reward: -112.6381 Cleared lines: 0, col: 0/0/0/0 
Epoch: 106 / 50000, Score: -500,  block: 23,  Reward: -177.1852 Cleared lines: 0, col: 0/0/0/0 
Epoch: 107 / 50000, Score: -500,  block: 19,  Reward: -87.3492 Cleared lines: 0, col: 0/0/0/0 
Epoch: 108 / 50000, Score: -500,  block: 24,  Reward: -119.2371 Cleared lines: 0, col: 0/0/0/0 
Epoch: 109 / 50000, Score: -500,  block: 23,  Reward: -143.6917 Cleared lines: 0, col: 0/0/0/0 
Epoch: 110 / 50000, Score: -500,  block: 21,  Reward: -60.9358 Cleared lines: 0, col: 0/0/0/0 
Epoch: 111 / 50000, Score: -500,  block: 20,  Reward: -138.2468 Cleared lines: 0, col: 0/0/0/0 
Epoch: 112 / 50000, Score: -400,  block: 29,  Reward: -171.5123 Cleared lines: 1, col: 1/0/0/0 
Epoch: 113 / 50000, Score: -500,  block: 23,  Reward: -152.2377 Cleared lines: 0, col: 0/0/0/0 
Epoch: 114 / 50000, Score: -500,  block: 24,  Reward: -99.4925 Cleared lines: 0, col: 0/0/0/0 
Epoch: 115 / 50000, Score: -400,  block: 20,  Reward: -104.8448 Cleared lines: 1, col: 1/0/0/0 
Epoch: 116 / 50000, Score: -500,  block: 27,  Reward: -189.0551 Cleared lines: 0, col: 0/0/0/0 
Epoch: 117 / 50000, Score: -500,  block: 23,  Reward: -190.1259 Cleared lines: 0, col: 0/0/0/0 
Epoch: 118 / 50000, Score: -500,  block: 25,  Reward: -132.4360 Cleared lines: 0, col: 0/0/0/0 
Epoch: 119 / 50000, Score: -500,  block: 22,  Reward: -130.9060 Cleared lines: 0, col: 0/0/0/0 
Epoch: 120 / 50000, Score: -400,  block: 29,  Reward: -217.3133 Cleared lines: 1, col: 1/0/0/0 
Epoch: 121 / 50000, Score: -500,  block: 25,  Reward: -118.2964 Cleared lines: 0, col: 0/0/0/0 
Epoch: 122 / 50000, Score: -500,  block: 29,  Reward: -201.2916 Cleared lines: 0, col: 0/0/0/0 
Epoch: 123 / 50000, Score: -500,  block: 25,  Reward: -136.1690 Cleared lines: 0, col: 0/0/0/0 
Epoch: 124 / 50000, Score: -500,  block: 18,  Reward: -98.1776 Cleared lines: 0, col: 0/0/0/0 
Epoch: 125 / 50000, Score: -500,  block: 14,  Reward: -66.4214 Cleared lines: 0, col: 0/0/0/0 
Epoch: 126 / 50000, Score: -500,  block: 23,  Reward: -149.4807 Cleared lines: 0, col: 0/0/0/0 
Epoch: 127 / 50000, Score: -500,  block: 27,  Reward: -124.7620 Cleared lines: 0, col: 0/0/0/0 
Epoch: 128 / 50000, Score: -500,  block: 18,  Reward: -106.5911 Cleared lines: 0, col: 0/0/0/0 
Epoch: 129 / 50000, Score: -500,  block: 23,  Reward: -160.3795 Cleared lines: 0, col: 0/0/0/0 
Epoch: 130 / 50000, Score: -500,  block: 23,  Reward: -154.2057 Cleared lines: 0, col: 0/0/0/0 
Epoch: 131 / 50000, Score: -500,  block: 17,  Reward: -90.9854 Cleared lines: 0, col: 0/0/0/0 
Epoch: 132 / 50000, Score: -500,  block: 28,  Reward: -129.7879 Cleared lines: 0, col: 0/0/0/0 
Epoch: 133 / 50000, Score: -500,  block: 17,  Reward: -62.2534 Cleared lines: 0, col: 0/0/0/0 
